角色ID	名字	模型	简单AI	行为树	思考间隔	视野	追踪距离	备注	放缩比例	受击材质	原形id	原形名	默认姿态	性格类型	无重力	选中圈比例	选中框比例	头像	显示可进行任务标识	称谓	归属名	归属类型	是否纯表现	随机冒泡内容	随机冒泡概率	隐藏距离	屏蔽点击	阵营	是否主动怪	可视类型	地图显示	头顶显示	隐藏名称	不转向	无血条	头顶显示血条	不飘血	非战斗待机动作	循环特效	前端行为树ID	职业	移动速度	锁定镜头	碰撞半径	受击半径	免疫控制	初始状态	五行属性	默认技能	死亡技能	后端动作	等级设置类型	怪物等级	星级	生命修正	攻击修正	防御修正	力量资质	智慧资质	根骨资质	体魄资质	敏捷资质	身法资质	总点数	生命资质	物理攻击资质	法术攻击资质	物理防御资质	法术防御资质	生命值	物理攻击	法术攻击	物理防御	法术防御	治疗强度	护体	护体恢复	生命恢复	暴击率	暴击伤害率	暴击防御率	回避率	命中率	招架率	熟练率	韧劲率	物理穿透	法术穿透	金抗性率	木抗性率	水抗性率	火抗性率	土抗性率	金伤害率	木伤害率	水伤害率	火伤害率	土伤害率	阴伤害率	阳伤害率
6464	隋军军官	mod_suijunjunguan	1					时空漩涡-宝箱	1.3	2	2001	隋军军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13600;13601;13602;13603;13604;13605;13606		intro_1|53			3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
6465	恶魔军官	mod_suijunjunguanemo	1					时空漩涡-宝箱	1.2	2	2002	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13700;13701;13702;13703;13704;13705		intro_1|90			3	6	0.6	1.2	1		1				2	1	1		1	1																															
6466	白虎都督	mod_baihuzhanshi	1					时空漩涡-宝箱	1.5	2	2004	精英白虎监工	1			1	1	ui_Head_Common_Blame										2	1					1								4		0	0.1				10600;10601;10602		stand_up|78;dead|65;intro_1|97;wedakness|36			3	6	0.6	1.2	1.5				0.5		2	1	1		1	1																															
6467	尸化大将军	mod_shihuadajiangjun	1					时空漩涡-宝箱		2	3004	尸化大将军	1			1	1	ui_Head_Common_Blame										2	1		5											8	2|1.8|6.5|50	0	1.6	1			20200;20201;20202;20203;20204;20205		intro_1|134			4	15	1	1.4	1.5				0.5		2	1	1		1	1																															
6470	时空大盗	mod_shihuadajiangjun	1					时空漩涡-经验（尸化大将军）		2	3004	尸化大将军	1			1	1	ui_Head_Common_Blame										2	1		5											8	2|1.8|6.5|50	0	1.6	1			20200;20201;20202;20203;20204;20205		intro_1|134			4	15	1	1.4	1.5				0.5		2	1	1		1	1																															
6471	乙太精怪	mod_fenghou	1					时空漩涡-经验（雨师）	1.5	2	3016	风后	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21500;21501;21502;21503;21504;21505;21506;21507;21508;21509;21510;21511;21512		intro_1|47			4	15	1	1.4		2					2	0.75	1.5		0.75	0.75																															
6472	黑暗亲信	mod_zhuquedi	1					时空漩涡-经验（朱雀帝）	1.2	2	3007	朱雀帝	1			1	1	ui_Head_Common_Blame										2	1		5											5		0	0.1	1			21600;21601;21602;21603;21604;21605;21606		intro_1|47			4	15	1	1.4		1.5			0.5		2	0.75		1.5	0.75	0.75																															
6500	蝶仙	mod_diexian	1					伏羲陵	1	2	1051	蝶仙	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14600;14601		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|70			1	2	0.3	1		1.5				0.5	2	1		1	1	1																															
6501	花妖	mod_huayao	1					伏羲陵	1	2	1052	花妖	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				14700;14701		stand_up|62;dead|59;intro_1|79;wedakness|50;intro_2|71			1	2	0.3	1		1.5				0.5	2	1		1	1	1																															
6502	红莲女巫	mod_honglianwunv	1					伏羲陵		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10			1	2	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
6503	仙女	mod_xiannv	1					伏羲陵		2	1039	仙女	1			1	1	ui_Head_Common_Blame										2	1					1								5		0	0.1				14100;14101		stand_up|36;dead|50;intro_1|51;wedakness|39			1	2	0.3	1		1.5				0.5	2	1		1	1	1																															
8000	山贼	mod_qiangdao	1					个性奇遇-山贼抢猪：gx4_8000_shanzei		2	1010	羽民战士	1			1	1	ui_Head_Common_Blame				1						2	1													5		0	0.1				11400;11401;11402		intro_1|100;hit_out_1|10	1	20	2	4	0.3	1	1					1	2	1	1		1	1																															
9100	杨林手下	mod_suijunyongshi_3	1					主线沙漠：		2	1044	隋军柱兵	1			1	1	ui_Head_Common_Blame	5118|2			1						2	1													5		0	0.1				13500;13501;13502		intro_1|43	1	9	1	2	0.3	1	2						2	1	1.5		0.5	0.5																															
9101	隋军军官	mod_suijunjunguan	1					沙漠定制关卡	1.3	2	2001	隋军军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13600;13601;13602;13603;13604;13605;13606		intro_1|53	1	11	3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
9102	恶魔军官	mod_suijunjunguanemo	1					沙漠定制关卡-恶魔军官用	1.2	2	2002	恶魔军官	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				13700;13701;13702;13703;13704;13705		intro_1|90	1	11	4	15	1	1.4	1		1				2	1	1		1	1																															
9103	恶魔士兵	mod_emo	1					沙漠定制关卡-恶魔军官用		2	1007	恶魔	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73	1	11	2	4	0.3	1		1	0.5	0.5			2	1		1	1	1																															
9104	隋军士兵	mod_suijunyongshi	1					主线沙漠：隋军士兵甲		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame	5017|2			1						2	1													5		0	0.1				12280;12281;12282		intro_1|100	1	3	1	2	0.3	1	1		1				2	1	1		2	0																															
9107	灵武废墟遗魂	mod_suijunshibing	1					废墟关卡		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				4						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	13	2	4	0.3	1	1		1				2	1	1		1	1																															
9108	尸化大将军	mod_suijunshibing	1					废墟关卡		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	13	4	15	1	1.4	1		1				2	1	1		1	1																															
9109	大本营士兵	mod_suijunshibing	1					主线沙漠：大本营		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	14	2	4	0.3	1	1		1				2	1	1		1	1																															
9110	大本营勇士	mod_suijunyongshi	1					主线沙漠：大本营		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame				1						2	1													5		0	0.1				12280;12281;12282		intro_1|100	1	14	2	4	0.3	1	1		1				2	1	1		2	0																															
9111	大本营弩手	mod_zhuoluchenggongjianshou	1					主线沙漠：大本营		2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame				1						2	1													5		0	0.1				0		intro_1|100	1	14	2	4	0.3	1	1				1		2	0.75	1.25		1	1																															
9112	石崖驻地门卫	mod_suijunshibing	1					主线沙漠：大本营		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame	5012|2			1						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	5	1	2	0.3	1	1		1				2	1	1		1	1																															
9113	李桦	mod_suijunjunguan	1					主线沙漠：驻地李桦		2	10203	军官弱化	1			1	1	ui_Head_Common_Blame	5037|2;5199|2	隋军都尉		1						2	1													4		0	0.1				13610			1	11	2	4	0.3	1	1		0.5			0.5	2	1	1		1	1																															
9115	米缸	mod_shuigang_1	1							1	9001	米缸						ui_Head_Common_Blame				1						2	1					1			1					0		0								1	1	1	2	0.3	1	0	0	0	0	0	0	0	0	0	0	0	0																															
9116	蚩尤战士	mod_baihuzhanshi	1							2	1000	白虎监工	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10600;10601;10602		intro_1|100;hit_out_1|10	1	22	2	4	0.3	1	1.5				0.5		2	1	1		1	1																															
9117	红眼兽	mod_lang	1							2	1018	狼	1			1	1	ui_Head_Common_Blame				1						2	1				1									4		0	0.1				10500;10501;10502			1	22	2	4	0.3	1	1		0.5	0.5			2	1	1		1	1																															
9118	红眼兽	mod_lang	1							2	1018	狼	1			1	1	ui_Head_Common_Blame				1						2	1				1									4		0	0.1				10500;10501;10502			1	22	2	4	0.3	1	1		0.5	0.5			2	1	1		1	1																															
9119	朱雀卫兵	mod_honglianwunv	1					流火守卫		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	22	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9120	魔化人类	mod_mohuarenlei	1							2	1021	魔化人类	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				13000;13001;13002		stand_up|64;dead|58;intro_1|74;wedakness|36	1	22	2	4	0.3	1	0.5		1			0.5	2	1.25	0.75		1	1																															
9121	自爆魔物	mod_baihuyongshi	1							2	1001	白虎勇士	1			1	1	ui_Head_Common_Blame				1						2	1				1									4		0	0.1				10700;10702;10701		intro_1|100;hit_out_1|10	1	22	2	4	0.3	1	1		1				2	1	1		2	0																															
9122	狂暴魔物	mod_baihuyongshi	1							2	1001	白虎勇士	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10700;10702;10701		intro_1|100;hit_out_1|10	1	22	2	4	0.3	1	1		1				2	1	1		2	0																															
9123	大本营卫兵	mod_suijunshibing	1					主线沙漠：大本营		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	14	2	4	0.3	1	1		1				2	1	1		1	1																															
9124	魅魔	mod_emo	1					主线沙漠：庇护所		2	1007	恶魔	1			1	1	ui_Head_Common_Blame	5175|2			1						2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73	1	18	2	4	0.3	1		1	0.5	0.5			2	1		1	1	1																															
9125	恶魔	mod_emo	1					主线沙漠：庇护所		2	1007	恶魔	1			1	1	ui_Head_Common_Blame	5090|2			1						2	1													4		0	0.1				11200;11201;11202		intro_1|64;intro_2|73	1	18	2	4	0.3	1		1	0.5	0.5			2	1		1	1	1																															
9126	石崖驻地甲士	mod_suijunyongshi	1					主线沙漠：石崖驻地		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame				1						2	1													5		0	0.1				12280;12281;12282		intro_1|100	1	10	1	2	0.3	1	1		1				2	1	1		2	0																															
9127	通天塔卫兵	mod_suijunshibing	1					主线沙漠：通天塔卫兵n_tttweibing_9127		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame	5080|2			1						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	16	2	4	0.3	1	1		1				2	1	1		1	1																															
9128	墨言	mod_menpaidizi	1					主线沙漠：驻地里被打的墨言n_moyan1		2	10291	男弟子（无能）	0			1	1	ui_Head_Common_Male		沙泉卫		1						1	1													5		0	0.1				14001			1	7	1	2	0.3	1	2						2	1	1		1	1	9999																														
9129	沙泉卫	mod_xiaobing	1					主线沙漠：		2	1019	小兵	1			1	1	ui_Head_Common_Male				1						1	1													4		0	0.1				10400;10401;10402			1	10	1	2	0.3	1	2						2	1	1		1	1																															
9130	石崖驻地士兵	mod_suijunshibing	1					主线沙漠：驻地的士兵		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	10	1	2	0.3	1	1		1				2	1	1		1	1																															
9131	沙泉卫	mod_xiaobing	1					沙漠驻地定制战斗的沙泉卫		2	1019	小兵	1			1	1	ui_Head_Common_Male				4						1	1													4		0	0.1				10400;10401;10402			1	11	2	4	0.3	1	2						2	1	1		1	1																															
9132	恶魔士兵	mod_suijunshibing	1					沙漠驻地定制战斗的魔化人类		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				4						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	11	2	4	0.3	1	1		1				2	1	1		1	1																															
9133	恶魔甲兵	mod_suijunshibing	1					沙漠驻地定制战斗恶魔		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				4						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	11	2	4	0.3	1	1		1				2	1	1		1	1																															
9134	恶魔妖兵	mod_suijunshibing	1					沙漠驻地定制战斗魅魔		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				4						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	11	2	4	0.3	1	1		1				2	1	1		1	1																															
9135	沙泉卫	mod_xiaobing	1					主线沙漠：大本营的沙泉卫		2	1019	小兵	1			1	1	ui_Head_Common_Male				1						1	1													4		0	0.1				10400;10401;10402			1	11	2	4	0.3	1	2						2	1	1		1	1																															
9136	慕芸	mod_menpainvdizi	1					主线沙漠：押送的慕芸n_muyun1		2	1028	门派女弟子	1			1	1	ui_Head_Common_Female		沙泉卫		1						1	1													5		0	0.1				15400			1	11	1	2	0.3	1	2						2	1	1		1	1	9999																														
9137	辛宁	mod_xiaobing	1					主线沙漠：大本营的沙泉卫辛宁n_xinning		2	1019	小兵	1			1	1	ui_Head_Common_Male		沙泉卫		1						1	1													4		0	0.1				10400;10401;10402			1	14	2	4	0.3	1	2						2	1	1		1	1	9999																														
9138	石崖驻地侦兵	mod_zhuoluchenggongjianshou	1					主线沙漠：驻地的侦兵		2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame				1						2	1													5		0	0.1				11000;11001;11002		intro_1|100	1	11	1	2	0.3	1	1				1		2	0.75	1.25		1	1																															
9139	石崖驻地卫兵	mod_suijunshibing	1					主线沙漠：驻地的		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame	5104|2;5182|2			1						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	11	1	2	0.3	1	1		1				2	1	1		1	1																															
9140	郑齐	mod_suijunjunguan	1					主线沙漠：驻地的		2	10203	军官弱化	1			1	1	ui_Head_Common_Blame		隋军都尉		1						2	1													4		0	0.1				13610			1	15	3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
9141	陈靖仇	mod_chenjingchou	1					主线沙漠：驻地的		2	7006	陈靖仇	5			1	1	ui_Head_ChenJingChou	5164|2;5188|2	少年英雄		1						1	1													5		0	0.1				21200;21201;21202;21203;21204;21205			1	15	3	6	0.6	1.2	1		1				2	1	1		1	1	9999																														
9142	慕芸	mod_menpainvdizi	1					主线沙漠：定制战斗的沙泉卫慕芸n_muyunFT		2	1028	门派女弟子	1			1	1	ui_Head_Common_Female		沙泉卫		4						1	1													5		0	0.1				15400			1	11	2	4	0.3	1	2						2	1	1		1	1	9999																														
9143	墨言	mod_menpaidizi	1					主线沙漠：定制战斗的沙泉卫墨言n_moyanFT		2	1029	门派男弟子	0			1	1	ui_Head_Common_Male		沙泉卫		4						1	1													5		0	0.1				14000			1	11	2	4	0.3	1	2						2	1	1		1	1	9999																														
9144	石崖驻地甲兵	mod_suijunyongshi	1					主线沙漠：定制战斗的驻地甲兵		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame				4						2	1													5		0	0.1				12280;12281;12282		intro_1|100	1	11	2	4	0.3	1	1		1				2	1	1		2	0																															
9145	石崖驻地士兵	mod_suijunshibing	1					主线沙漠：定制战斗的驻地士兵		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				4						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	11	2	4	0.3	1	1		1				2	1	1		1	1																															
9146	石崖驻地侦兵	mod_zhuoluchenggongjianshou	1					主线沙漠：定制战斗的驻地侦兵		2	1033	逐鹿城弩手	1			1	1	ui_Head_Common_Blame				4						2	1													5		0	0.1				11000;11001;11002		intro_1|100	1	11	2	4	0.3	1	1				1		2	0.75	1.25		1	1																															
9147	石崖牢狱卫	mod_suijunyongshi_2	1					主线沙漠：定制战斗的驻地士兵		2	1043	隋军锤兵	1			1	1	ui_Head_Common_Blame	5120|2			4						2	1													5		0	0.1				13400;13401;13402		intro_1|43	1	11	2	4	0.3	1	1.5		0.5				2	1	1.5		0.5	0.5																															
9148	陈靖仇	mod_chenjingchou	1					5170定制关卡用-陈靖仇		2	7006	陈靖仇	5			1	1	ui_Head_ChenJingChou	5170|2			4						1	1													5		0	0.1				21200;21201;21202;21203;21204;21205			1	16	8	80	2	1.4	1		1				2	1	1		1	1	10000																														
9149	通天塔护卫	mod_suijunshibing	1					5170定制关卡用		2	1002	隋军士兵	1			1	1	ui_Head_Common_Blame				4						2	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	16	2	4	0.3	1	1		1				2	1	1		1	1																															
9150	李维	mod_suijunyongshi	1					主线沙漠：驻地李维		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame	5184|2			1						2	1													5		0	0.1				12280;12281;12282		intro_1|100	1	10	2	4	0.3	1	1		1				2	1	1		2	0																															
9151	杨林	mod_suijunjunguan	1					主线沙漠：驻地杨林		2	10203	军官弱化	1			1	1	ui_Head_Common_Blame	5187|2			1						2	1													4		0	0.1				13610			1	10	3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
9152	大本营甲士	mod_suijunyongshi	1					主线沙漠：大本营		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame	5165|2			1						2	1													5		0	0.1				12280;12281;12282		intro_1|100	1	14	2	4	0.3	1	1		1				2	1	1		2	0																															
9153	涿鹿护城军	mod_yuminzhanshi	1					主线涿鹿：玩家要打正门的护城军p_20156_huchengjunM		2	1010	羽民战士	1			1	1	ui_Head_Common_Blame	5213|2			1						2	1													5		0	0.1				11400;11401;11402		intro_1|100;hit_out_1|10	1	20	2	4	0.3	1	1					1	2	1	1		1	1																															
9154	蒙白	mod_suijunjunguan	1					主线涿鹿：姬府护卫将军蒙白p_9154_mengbaiM	1.3	2	2001	隋军军官	1			1	1	ui_Head_Common_Blame	5244|2	姬府护卫将军		1						2	1													4		0	0.1				13600;13601;13602;13603;13604;13605;13606		intro_1|53	1	24	3	6	0.6	1.2	1		0.5			0.5	2	1	1		1	1																															
9155		mod_dilei	1					主线涿鹿：朱雀国入村的陷阱p_9155_xianjingM	3	2	1045	地雷	1			1	1	ui_Head_Common_Blame				1						2	1													0		0	0.1				13300			1	18	2	4	0.3	1	2						2	1	1		1	1																															
9156	变异大红鼠	mod_huoguangshou	1					主线朱雀：朱雀国入村的变异红鼠p_9156_dahongshuM		2	1041	火光兽	1			1	1	ui_Head_Common_Blame	5253|2			1						2	1													5		0	0.1				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39	1	23	2	4	0.3	1		1		1			2	1		1	0	2																															
9157	井大路	mod_suijunyongshi	1					主线朱雀：朱雀国的井大路p_9157_jingdaluM		2	1030	隋军勇士	1			1	1	ui_Head_Common_Blame				1						1	1													5		0	0.1				12280;12281;12282		intro_1|100	1	24	2	4	0.3	1	1		1				2	1	1		2	0																															
9158	偃术古魔	mod_yuanhun	1					主线朱雀：p_9158_ziyigumoM		2	1023	冤魂	1			1	1	ui_Head_Common_Blame	5277|2			1						2	0													4		0	0.1				12800;12801;12802		stand_up|73;dead|59;intro_1|86;wedakness|33	1	25	2	4	0.3	1					1	1	2	1		1	1	1																															
9159	变异大红鸟	mod_huoguangshou	1					主线朱雀：朱雀国入村的变异红鸟p_9159_dahongniaoM		2	1041	火光兽	1			1	1	ui_Head_Common_Blame	5258|2			1						2	1													5		0	0.1				12900;12091;12902		stand_up|39;dead|60;intro_1|43;wedakness|39	1	24	3	6	0.6	1.2		1		1			2	1		1	0	2																															
9160	蚩尤甲士	mod_chiyouzujiashi	1					主线朱雀：p_9160_chiyoujiashiM		2	1037	蚩尤甲士	1			1	1	ui_Head_Common_Blame	5272|2			1						2	1													4		0	0.1				12700;12701;12702		stand_up|69;dead|55;intro_1|60;wedakness|40	1	24	2	4	0.3	1	1		1				2	1.25	1		1.5	0																															
9161	宇文拓	mod_yuwentuo	1					主线沙漠：n_9161_ywtM		2	7001	宇文拓	5			1	1	ui_Head_Common_Blame				1						1	1													5	2|1.8|6.5|50	0	0.1				20500;20503;20504;20505		intro_1|105;	1	18	2	4	0.3	1	1		1				2	1	1		1	1																															
9162	裂隙魔怪	mod_mohuarenlei	1					主线沙漠：n_9162_moguaiM		2	1021	魔化人类	1			1	1	ui_Head_Common_Blame	5086|2			1						2	1													4		0	0.1				13000;13001;13002		stand_up|64;dead|58;intro_1|74;wedakness|36	1	18	2	4	0.3	1	0.5		1			0.5	2	1.25	0.75		1	1																															
9163	水镜	mod_shuijing	1					主线朱雀：p_9163_shuijingM		2	7003	水镜	5			1	1	ui_Head_Common_Blame		留侯夫人		1						1	1													5		0	0.1				20700;20701;20702;20703;20704;20705;20706			1	25	2	4	0.3	1	1				1		2	1	1		1	1																															
9164	石崖巡营兵	mod_zhuoluchengshibing_2	1					主线沙漠：n_9164_xunyingbingM		2	1048	逐鹿城盾兵	1			1	1	ui_Head_Common_Blame	5024|2;5191|2			4						2	1													5		0	0.1				15300		stand_up|69;dead|55;intro_1|61;wedakness|40	1	11	1	2	0.3	1			2				2	1.5	0.5		1	1																															
9165	石崖前营卫	mod_suijunyongshi_3	1					主线沙漠：n_9165_qianyingweiM		2	1044	隋军柱兵	1			1	1	ui_Head_Common_Blame	5051|2			4						2	1													5		0	0.1				13500;13501;13502		intro_1|43	1	8	1	2	0.3	1	2						2	1	1.5		0.5	0.5																															
9166	驻地哨兵	mod_suijungongjianshou	1					主线沙漠：n_9166_zhudishaobingM		2	1005	隋军弩手	1			1	1	ui_Head_Common_Blame	5059|2			4						2	1													4		0	0.1				11000;11001;11002		intro_1|100;hit_out_1|10	1	8	1	2	0.3	1	1.5				0.5		2	0.75	0.75		1	1																															
9201	朱雀斥候	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9202	朱雀长老	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9203	朱雀卫队	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9204	朱雀卫队	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9205	亡魂	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9206	朱雀村民	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9207	朱雀卫兵	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9208	朱雀刽子手	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9209	擎苍	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame										2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9210	牵黄	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Femal										2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9211	朱雀斥候	mod_honglianwunv	1					废弃不用-旧朱雀任务		2	1004	红莲女巫	1			1	1	ui_Head_Common_Femal				1						2	1													4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9212	守卫	mod_suijunshibing	1					废弃不用-旧朱雀任务		2	1002	隋军士兵	1			1	1	ui_Head_Common_Male				1						1	1													4		0	0.1				10800;10801;10802		intro_1|100;hit_out_1|10	1	1	2	4	0.3	1	1		1				2	1	1		1	1																															
9213	变异飞蛇	mod_yishe	1					朱雀任务第2部分用		2	1024	翼蛇	1			1	1	ui_Head_Common_Blame	3220|2			1						2	1	1												4		0	0.1				12300;12301		intro_1|59	1	27	2	4	0.3	1					1	1	2	1		1	1	1																															
9214	流火斥候	mod_suijunjunguan	1					朱雀任务第2部分用		2	10203	军官弱化	1			1	1	ui_Head_Common_Blame	3273|2									2	0					1								4		0	0.1				13610			1	29	2	4	0.3	1	1		0.5			0.5	2	1	1		1	1																															
9215	朱雀护卫	mod_honglianwunv	1					朱雀任务第2部分用		2	1004	红莲女巫	1			1	1	ui_Head_Common_Blame	3232|2			1						2	1	1												4		0	0.1				10900;10901;10902;10903		intro_1|100;hit_out_1|10	1	26	2	4	0.3	1		1.5				0.5	2	1		1	0.5	1.5																															
9216	陈靖仇	mod_chenjingchou	1					主线朱雀：		2	7006	陈靖仇	5			1	1	ui_Head_Common_Male				1						1	1	1	5											5		0	0.1				21200;21201;21202;21203;21204;21205			1	28	2	4	0.3	1	1		1				2	1	1		1	1																															
9217	宇文拓	mod_yuwentuo	1					主线朱雀：		2	70011	宇文拓（变身用）	5			1	1	ui_Head_Common_Blame				1						1	1	1	5											5		0	0.1	1			20506		intro_1|105;	1	28	2	4	0.3	1	2						2	1	1		1	1																															
9218	姬良	mod_jiliang	1					主线朱雀：		2	7002	姬良	5			1	1	ui_Head_Common_Blame				1						1	1	1	5											5		0	0.1				20600;20601;20602;20603;20604;20605;20606			1	28	2	4	0.3	1		2					2	1		1	1	1																															
9219	朱雀炎将	mod_zhuquechihou	1					主线朱雀：		2	1040	朱雀斥候	1			1	1	ui_Head_Common_Female	3311|2									2	1													5		0	0.1				13100;13101;13102		stand_up|78;dead|65;intro_1|97;wedakness|36	1	30	3	6	0.6	1.2	1				1		2	1	1		1	1																															
9220	流火弩手	mod_zhuquechihou	1					朱雀任务第2部分用		2	1040	朱雀斥候	1			1	1	ui_Head_Common_Blame	3271|2									2	1													5		0	0.1				13100;13101;13102		stand_up|78;dead|65;intro_1|97;wedakness|36	1	28	2	4	0.3	1	1				1		2	1	1		1	1																															
